Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,10,12049.529,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,11,6051.647,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,12,12684.41,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,13,7657.91,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,14,11911.171,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,15,11642.528,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,16,11432.599,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,17,6500.116,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,18,5794.836,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,19,6389.719,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,20,11491.297,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,21,10308.152,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,22,9932.83,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,23,9636.005,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,24,9544.073,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,25,10410.409,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,26,11001.443,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,27,10929.226,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,28,10898.461,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,29,10882.886,0.0,0,0,0
ETHUSDT,6h.csv,2022-01-01,2024-08-31,RSI,30,10886.062,0.0,0,0,0
