Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,10,7677.289,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,11,6389.137,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,12,13226.778,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,13,12259.409,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,14,12287.082,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,15,8094.304,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,16,8399.879,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,17,6550.145,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,18,14055.847,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,19,12387.25,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,20,11919.991,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,21,10325.826,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,22,10044.195,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,23,10126.149,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,24,10383.366,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,25,10355.949,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,26,8871.094,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,27,11040.01,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,28,11031.121,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,29,11031.121,0.0,0,0,0
ETHUSDT,1h.csv,2022-01-01,2024-08-31,SMA,30,11031.121,0.0,0,0,0
