Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,10,8270.006,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,11,7544.679,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,12,11906.358,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,13,8301.194,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,14,8711.092,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,15,8669.527,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,16,7788.007,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,17,5081.253,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,18,4411.521,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,19,13167.934,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,20,12709.607,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,21,12212.302,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,22,8114.49,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,23,8246.536,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,24,8880.424,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,25,11892.362,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,26,4562.66,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,27,14329.705,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,28,14315.385,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,29,14305.197,0.0,0,0,0
BTCUSDT,15m.csv,2022-01-01,2024-08-31,RSI,30,14320.087,0.0,0,0,0
