Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,10,11567.969,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,11,6552.535,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,12,11719.628,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,13,8260.482,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,14,8691.807,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,15,8681.268,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,16,11925.208,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,17,14832.018,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,18,15405.831,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,19,5939.16,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,20,12493.904,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,21,11826.184,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,22,7863.045,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,23,8059.395,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,24,11076.511,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,25,11461.816,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,26,14545.586,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,27,5165.986,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,28,5152.685,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,29,4966.115,0.0,0,0,0
BTCUSDT,4h.csv,2022-01-01,2024-08-31,RSI,30,4880.88,0.0,0,0,0
